case_id,case_name,parcel_count,litigation_cases,compensation_pending_pct,acquisition_stage,ownership_disputes,document_issues,previous_delays_months,notification_age_months,delayed
CASE-0001,Thoothukudi Port Rail Spur Phase 1 (Sec 7),74,0,7.3,Compensation Disbursement,9,4,0.0,21.0,0
CASE-0002,Madurai Logistics Park Phase 3 (Sec 4),18,0,83.3,Award Inquiry (Sec 3G/23),0,1,1.4,22.4,0
CASE-0003,Erode Agri-Logistics Zone Phase 2 (Sec 2),74,0,1.9,Possession (Sec 3E/38),2,6,4.2,36.9,0
CASE-0004,Thoothukudi Port Rail Spur Phase 1 (Sec 4),19,0,70.9,SIA & Objection (Sec 3C/15),0,2,0.0,1.0,0
CASE-0005,Thoothukudi Port Rail Spur Phase 1 (Sec 4),92,1,45.0,Award Inquiry (Sec 3G/23),7,11,0.0,17.8,1
CASE-0006,Vellore Urban Peripheral Phase 1 (Sec 1),26,0,78.0,SIA & Objection (Sec 3C/15),0,0,4.5,12.7,0
CASE-0007,Coimbatore Ring Road Sec Phase 2 (Sec 4),36,0,79.6,Notification (Sec 3A/11),3,1,2.2,5.5,0
CASE-0008,Tiruchirappalli Freight Link Phase 1 (Sec 3),88,0,43.3,Award Inquiry (Sec 3G/23),9,3,4.3,25.8,1
CASE-0009,Hosur IT Expressway Phase 1 (Sec 3),36,2,91.6,SIA & Objection (Sec 3C/15),5,6,0.0,3.6,1
CASE-0010,Salem Bypass Extension Phase 3 (Sec 3),33,1,82.4,Award Inquiry (Sec 3G/23),1,2,0.0,17.2,0
CASE-0011,Salem Bypass Extension Phase 2 (Sec 5),270,1,44.1,Award Inquiry (Sec 3G/23),30,39,1.7,22.5,1
CASE-0012,Tirunelveli Solar Park Access Phase 1 (Sec 4),60,4,72.3,Declaration (Sec 3D/19),1,0,0.0,12.9,1
CASE-0013,Hosur IT Expressway Phase 3 (Sec 4),29,1,23.4,Compensation Disbursement,0,4,0.0,20.0,0
CASE-0014,Hosur IT Expressway Phase 2 (Sec 5),33,1,77.1,Declaration (Sec 3D/19),0,3,1.1,15.5,0
CASE-0015,Hosur IT Expressway Phase 1 (Sec 4),202,11,32.2,Award Inquiry (Sec 3G/23),7,38,9.6,30.4,1
CASE-0016,Vellore Urban Peripheral Phase 1 (Sec 5),27,2,81.7,SIA & Objection (Sec 3C/15),5,6,5.4,14.0,1
CASE-0017,Vellore Urban Peripheral Phase 3 (Sec 4),219,3,79.1,Declaration (Sec 3D/19),14,17,1.2,15.8,0
CASE-0018,Tiruchirappalli Freight Link Phase 3 (Sec 5),123,3,71.0,Declaration (Sec 3D/19),3,12,0.0,13.6,1
CASE-0019,Salem Bypass Extension Phase 1 (Sec 1),229,1,97.0,SIA & Objection (Sec 3C/15),12,7,2.7,11.6,1
CASE-0020,Tirunelveli Solar Park Access Phase 2 (Sec 4),46,0,62.0,Award Inquiry (Sec 3G/23),1,0,5.8,28.4,1
CASE-0021,Hosur IT Expressway Phase 3 (Sec 1),57,2,18.2,Compensation Disbursement,4,5,2.3,29.0,0
CASE-0022,Salem Bypass Extension Phase 3 (Sec 5),31,1,71.5,Award Inquiry (Sec 3G/23),1,3,3.7,27.3,1
CASE-0023,Madurai Logistics Park Phase 3 (Sec 6),270,6,59.5,Award Inquiry (Sec 3G/23),12,17,2.2,23.3,1
CASE-0024,Tiruchirappalli Freight Link Phase 1 (Sec 3),62,1,12.0,Compensation Disbursement,2,1,0.0,25.6,0
CASE-0025,Salem Bypass Extension Phase 2 (Sec 4),104,0,13.3,Compensation Disbursement,0,5,1.1,27.5,0
CASE-0026,Vellore Urban Peripheral Phase 1 (Sec 7),64,0,88.2,Notification (Sec 3A/11),2,0,5.8,9.4,0
CASE-0027,Tiruchirappalli Freight Link Phase 1 (Sec 1),21,0,97.9,SIA & Objection (Sec 3C/15),1,0,0.0,6.1,0
CASE-0028,Tirunelveli Solar Park Access Phase 2 (Sec 3),29,1,17.1,Compensation Disbursement,0,2,5.8,35.9,0
CASE-0029,Vellore Urban Peripheral Phase 1 (Sec 1),56,0,58.8,Award Inquiry (Sec 3G/23),4,4,1.7,22.1,0
CASE-0030,SIPCOT Industrial Corridor Phase 1 (Sec 5),89,3,71.4,Award Inquiry (Sec 3G/23),16,0,11.3,31.9,1
CASE-0031,Hosur IT Expressway Phase 3 (Sec 7),29,0,94.8,Notification (Sec 3A/11),1,1,6.0,10.8,1
CASE-0032,Erode Agri-Logistics Zone Phase 2 (Sec 6),55,0,70.5,Declaration (Sec 3D/19),3,4,2.0,16.9,0
CASE-0033,Tirunelveli Solar Park Access Phase 1 (Sec 6),23,0,23.1,Possession (Sec 3E/38),1,0,0.0,29.4,0
CASE-0034,Salem Bypass Extension Phase 3 (Sec 3),24,0,79.4,Declaration (Sec 3D/19),2,2,0.1,14.1,0
CASE-0035,Salem Bypass Extension Phase 1 (Sec 5),69,1,66.2,Declaration (Sec 3D/19),11,0,0.0,9.0,0
CASE-0036,Tirunelveli Solar Park Access Phase 2 (Sec 1),27,0,5.2,Compensation Disbursement,1,3,1.3,28.5,0
